,geometry,section,year,floor,hall name
1394,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1967,1,"['Biology of Invertebrates', 'Biology of Invertebrates', 'Hall of the Biology of Invertebrates']"
1395,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1967,2,"['Asiatic Hall', 'Asiatic Mammals', 'Hall of South Asiatic Mammals']"
1396,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1967,3,"['Amphibians and Reptiles', 'Hall of Amphibians and Reptiles']"
1397,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1967,4,"['Hall of Late Dinosaurs', 'Late Dinosaurs']"
1398,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1968,1,"['Biology of Invertebrates', 'Hall of the Biology of Invertebrates']"
1399,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1969,1,['Hall of the Biology of Invertebrates']
1400,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1969,3,"['Hall of Amphibians and Reptiles', 'Hall of the Biology of Amphibians and Reptiles']"
1401,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1970,1,"['Hall of Biology of Invertebrates', 'Hall of Biology of Invertebrates']"
1402,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1970,3,"['Hall of Late Dinosaurs', 'Hall of the Biology of Amphibians and Reptiles']"
1403,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1971,1,"['Hall of Mollusks and Mankind', 'Hall of the Biology of Invertebrates ']"
1404,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1971,2,['Asian Mammal Hall']
1405,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1971,3,"['Hall of Amphibians and Reptiles', 'Hall of Late Dinosaurs', 'Hall of the Biology of Amphibians and Reptiles']"
1406,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1972,1,"['Biology of Invertebrates', 'Hall of Mollusks and Mankind', 'Hall of the Biology of Invertebrates', 'Hall of the Biology of Invertebrates', 'Mollusks and Mankind']"
1407,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1972,2,"['Asiatic Mammals', 'Hall of Asian Mammals', 'Vernay-Faunthorpe Hall of South Asiatic Mammals']"
1408,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1972,3,"['Amphibians and Reptiles', 'Hall of the Biology of Reptiles and Amphibians']"
1409,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1972,4,"['Late (Cretaceous) Dinosaur Hall', 'Late Dinosaur Hall', 'Late Dinosaurs']"
1410,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1973,1,"['Hall of Mollusks and Mankind', 'Mollusks and Mankind']"
1411,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1973,3,['Hall of Reptiles and Amphibians']
1412,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1974,1,"['Hall of Mollusks and Mankind', 'Invertebrate Biology', 'Mollusks and Mankind']"
1413,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1974,3,"['Hall of Late Dinosaurs', 'Hall of Reptiles and Amphibians', 'Reptiles and Amphibians']"
1414,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1975,1,['Hall of Mollusks and Mankind']
1415,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1975,3,['Hall of Reptiles and Amphibians']
1416,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1976,1,['Hall of Invertebrates']
1417,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1976,2,['Hall of Asian Mammals']
1418,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1976,3,"['Hall of Reptiles and Amphibians', 'Reptiles and Amphibians']"
1419,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1977,3,"['Amphibians and Reptiles', 'Hall of Reptiles and Amphibians']"
1420,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1978,1,['Mollusks and Mankind']
1421,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1978,3,['Reptiles and Amphibians']
1422,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1979,1,['Hall of Mollusks and Mankind']
1423,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1979,2,['Hall of South Asiatic Mammals']
1424,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1979,3,"['Hall of Late Dinosaurs ', 'Hall of Reptiles and Amphibians']"
1425,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1980,4,['Hall of Late Dinosaurs']
1426,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1982,1,['Hall of Mollusks and Mankind']
1427,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1984,1,"['Hall of Mollusks and Mankind', 'Hall of Mollusks and Mankind', 'Hall of the Biology of Invertebrates']"
1428,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1984,2,"['Hall of Asiatic Mammals', 'Hall of South Asiatic Mammals', 'Vernay-Faunthorpe Hall of South Asiatic Mammals']"
1429,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1984,3,['Hall of Reptiles and Amphibians']
1430,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1984,4,"['Hall of Late Dinosaurs', 'Hall of Late Dinosaurs']"
1431,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1985,1,"['Hall of Invertebrates', 'Hall of the Biology of Invertebrates']"
1432,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1986,1,['Hall of the Biology of Invertebrates']
1433,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1986,2,['Hall of South Asiatic Mammals']
1434,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1987,1,['Hall of the Biology of Invertebrates']
1435,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1988,2,['Hall of South Asiatic Mammals']
1436,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1988,3,['Hall of Reptiles and Amphibians']
1437,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1990,1,['Hall of Invertebrates']
1438,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1990,3,['Hall of Reptiles and Amphibians']
1439,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1990,4,['Hall of Late Dinosaurs']
